s,Volts,s,Volts,s,Volts
 -3.808e-007,           0, -3.808e-007,  1.84000003, -3.808e-007,           0
 -3.792e-007,           0, -3.792e-007,  1.82000005, -3.792e-007,-0.400000006
 -3.776e-007,0.0799999982, -3.776e-007,  1.84000003, -3.776e-007,-0.400000006
  -3.76e-007,           0,  -3.76e-007,  1.84000003,  -3.76e-007,           0
 -3.744e-007,           0, -3.744e-007,  1.84000003, -3.744e-007, 0.400000006
 -3.728e-007,-0.0799999982, -3.728e-007,  1.82000005, -3.728e-007,-0.400000006
 -3.712e-007,-0.159999996, -3.712e-007,  1.86000001, -3.712e-007,           0
 -3.696e-007,           0, -3.696e-007,  1.86000001, -3.696e-007,-0.400000006
  -3.68e-007,           0,  -3.68e-007,  1.82000005,  -3.68e-007,           0
 -3.664e-007,           0, -3.664e-007,  1.79999995, -3.664e-007,           0
 -3.648e-007,           0, -3.648e-007,  1.82000005, -3.648e-007,-0.400000006
 -3.632e-007,           0, -3.632e-007,  1.82000005, -3.632e-007,           0
 -3.616e-007,           0, -3.616e-007,  1.84000003, -3.616e-007,-0.400000006
   -3.6e-007,-0.0799999982,   -3.6e-007,  1.82000005,   -3.6e-007,           0
 -3.584e-007,-0.0799999982, -3.584e-007,  1.82000005, -3.584e-007,-0.400000006
 -3.568e-007,-0.0799999982, -3.568e-007,  1.84000003, -3.568e-007, 0.400000006
 -3.552e-007,-0.0799999982, -3.552e-007,  1.79999995, -3.552e-007,           0
 -3.536e-007,0.0799999982, -3.536e-007,  1.84000003, -3.536e-007,-0.800000012
  -3.52e-007,-0.0799999982,  -3.52e-007,  1.84000003,  -3.52e-007,           0
 -3.504e-007,-0.0799999982, -3.504e-007,  1.84000003, -3.504e-007,-0.800000012
 -3.488e-007,-0.0799999982, -3.488e-007,  1.84000003, -3.488e-007,           0
 -3.472e-007,-0.0799999982, -3.472e-007,  1.82000005, -3.472e-007,-0.800000012
 -3.456e-007,0.0799999982, -3.456e-007,  1.82000005, -3.456e-007,           0
  -3.44e-007,-0.0799999982,  -3.44e-007,  1.82000005,  -3.44e-007,-0.400000006
 -3.424e-007,-0.0799999982, -3.424e-007,  1.82000005, -3.424e-007,           0
 -3.408e-007,-0.0799999982, -3.408e-007,  1.82000005, -3.408e-007,-0.400000006
 -3.392e-007,-0.0799999982, -3.392e-007,  1.84000003, -3.392e-007,-0.400000006
 -3.376e-007,-0.0799999982, -3.376e-007,  1.82000005, -3.376e-007,-0.800000012
  -3.36e-007,           0,  -3.36e-007,  1.82000005,  -3.36e-007,-0.400000006
 -3.344e-007,           0, -3.344e-007,  1.82000005, -3.344e-007,           0
 -3.328e-007,-0.0799999982, -3.328e-007,  1.82000005, -3.328e-007, 0.400000006
 -3.312e-007,           0, -3.312e-007,  1.82000005, -3.312e-007,-0.400000006
 -3.296e-007,           0, -3.296e-007,  1.86000001, -3.296e-007,           0
  -3.28e-007,           0,  -3.28e-007,  1.82000005,  -3.28e-007,-0.400000006
 -3.264e-007,-0.0799999982, -3.264e-007,  1.82000005, -3.264e-007,-0.400000006
 -3.248e-007,-0.0799999982, -3.248e-007,  1.82000005, -3.248e-007,-0.400000006
 -3.232e-007,           0, -3.232e-007,  1.82000005, -3.232e-007,-0.400000006
 -3.216e-007,           0, -3.216e-007,  1.84000003, -3.216e-007,           0
   -3.2e-007,-0.0799999982,   -3.2e-007,  1.86000001,   -3.2e-007,-0.400000006
 -3.184e-007,0.0799999982, -3.184e-007,  1.82000005, -3.184e-007,-0.400000006
 -3.168e-007,-0.0799999982, -3.168e-007,  1.82000005, -3.168e-007,-0.400000006
 -3.152e-007,           0, -3.152e-007,  1.84000003, -3.152e-007,-0.800000012
 -3.136e-007,           0, -3.136e-007,  1.82000005, -3.136e-007,-0.400000006
  -3.12e-007,-0.0799999982,  -3.12e-007,  1.84000003,  -3.12e-007,-0.800000012
 -3.104e-007,-0.0799999982, -3.104e-007,  1.86000001, -3.104e-007,           0
 -3.088e-007,           0, -3.088e-007,  1.84000003, -3.088e-007,           0
 -3.072e-007,0.0799999982, -3.072e-007,  1.82000005, -3.072e-007,           0
 -3.056e-007,           0, -3.056e-007,  1.82000005, -3.056e-007,           0
  -3.04e-007,-0.0799999982,  -3.04e-007,  1.82000005,  -3.04e-007,           0
 -3.024e-007,           0, -3.024e-007,  1.84000003, -3.024e-007,           0
 -3.008e-007,           0, -3.008e-007,  1.82000005, -3.008e-007,-0.400000006
 -2.992e-007,           0, -2.992e-007,  1.82000005, -2.992e-007,-0.400000006
 -2.976e-007,0.0799999982, -2.976e-007,  1.84000003, -2.976e-007,           0
  -2.96e-007,0.0799999982,  -2.96e-007,  1.82000005,  -2.96e-007,-0.400000006
 -2.944e-007,           0, -2.944e-007,  1.82000005, -2.944e-007,           0
 -2.928e-007,-0.0799999982, -2.928e-007,  1.82000005, -2.928e-007,-0.800000012
 -2.912e-007,           0, -2.912e-007,  1.82000005, -2.912e-007,           0
 -2.896e-007,           0, -2.896e-007,  1.84000003, -2.896e-007,           0
  -2.88e-007,-0.0799999982,  -2.88e-007,  1.82000005,  -2.88e-007,           0
 -2.864e-007,-0.0799999982, -2.864e-007,  1.82000005, -2.864e-007,           0
 -2.848e-007,           0, -2.848e-007,  1.82000005, -2.848e-007,           0
 -2.832e-007,0.0799999982, -2.832e-007,  1.82000005, -2.832e-007,           0
 -2.816e-007,           0, -2.816e-007,  1.82000005, -2.816e-007,           0
   -2.8e-007,-0.0799999982,   -2.8e-007,  1.84000003,   -2.8e-007,           0
 -2.784e-007,-0.0799999982, -2.784e-007,  1.86000001, -2.784e-007,-0.400000006
 -2.768e-007,-0.159999996, -2.768e-007,  1.84000003, -2.768e-007, 0.400000006
 -2.752e-007,           0, -2.752e-007,  1.79999995, -2.752e-007,           0
 -2.736e-007,-0.0799999982, -2.736e-007,  1.82000005, -2.736e-007,           0
  -2.72e-007,           0,  -2.72e-007,  1.82000005,  -2.72e-007, 0.400000006
 -2.704e-007,-0.0799999982, -2.704e-007,  1.82000005, -2.704e-007,-0.400000006
 -2.688e-007,-0.0799999982, -2.688e-007,  1.84000003, -2.688e-007,-0.400000006
 -2.672e-007,-0.0799999982, -2.672e-007,  1.82000005, -2.672e-007,-0.400000006
 -2.656e-007,0.0799999982, -2.656e-007,  1.84000003, -2.656e-007,           0
  -2.64e-007,           0,  -2.64e-007,  1.84000003,  -2.64e-007,-0.400000006
 -2.624e-007,           0, -2.624e-007,  1.84000003, -2.624e-007,-0.400000006
 -2.608e-007,-0.0799999982, -2.608e-007,  1.84000003, -2.608e-007, 0.400000006
 -2.592e-007,           0, -2.592e-007,  1.82000005, -2.592e-007,           0
 -2.576e-007,           0, -2.576e-007,  1.82000005, -2.576e-007,           0
  -2.56e-007,-0.0799999982,  -2.56e-007,  1.82000005,  -2.56e-007,-0.400000006
 -2.544e-007,           0, -2.544e-007,  1.82000005, -2.544e-007,-0.400000006
 -2.528e-007,0.0799999982, -2.528e-007,  1.84000003, -2.528e-007,-0.400000006
 -2.512e-007,-0.0799999982, -2.512e-007,  1.84000003, -2.512e-007,-0.400000006
 -2.496e-007,-0.0799999982, -2.496e-007,  1.84000003, -2.496e-007,           0
  -2.48e-007,           0,  -2.48e-007,  1.84000003,  -2.48e-007,-0.400000006
 -2.464e-007,-0.0799999982, -2.464e-007,  1.84000003, -2.464e-007,-0.400000006
 -2.448e-007,           0, -2.448e-007,  1.82000005, -2.448e-007,-0.400000006
 -2.432e-007,-0.0799999982, -2.432e-007,  1.82000005, -2.432e-007,           0
 -2.416e-007,           0, -2.416e-007,  1.82000005, -2.416e-007,           0
   -2.4e-007,           0,   -2.4e-007,  1.82000005,   -2.4e-007,-0.400000006
 -2.384e-007,           0, -2.384e-007,  1.82000005, -2.384e-007,           0
 -2.368e-007,-0.0799999982, -2.368e-007,  1.84000003, -2.368e-007,           0
 -2.352e-007,           0, -2.352e-007,  1.82000005, -2.352e-007,-0.400000006
 -2.336e-007,0.0799999982, -2.336e-007,  1.82000005, -2.336e-007,-0.400000006
  -2.32e-007,-0.0799999982,  -2.32e-007,  1.84000003,  -2.32e-007,           0
 -2.304e-007,-0.0799999982, -2.304e-007,  1.84000003, -2.304e-007,           0
 -2.288e-007,           0, -2.288e-007,  1.82000005, -2.288e-007, 0.400000006
 -2.272e-007,           0, -2.272e-007,  1.82000005, -2.272e-007,-0.800000012
 -2.256e-007,-0.0799999982, -2.256e-007,  1.84000003, -2.256e-007,           0
  -2.24e-007,-0.0799999982,  -2.24e-007,  1.79999995,  -2.24e-007,-0.400000006
 -2.224e-007,           0, -2.224e-007,  1.79999995, -2.224e-007,           0
 -2.208e-007,-0.0799999982, -2.208e-007,  1.82000005, -2.208e-007,           0
 -2.192e-007,           0, -2.192e-007,  1.84000003, -2.192e-007,-0.400000006
